windex10,gender,avg_books,n
1,Ayol,7.143052864480309,188
1,Erkak,6.632691168934874,229
2,Ayol,7.672701111095082,201
2,Erkak,6.738809149127282,179
3,Ayol,6.895676365586694,173
3,Erkak,7.486305794051114,190
4,Ayol,7.7045720619187685,206
4,Erkak,7.362106378886937,183
5,Ayol,7.448799396352121,149
5,Erkak,7.2665168902068835,219
6,Ayol,7.7430598888479185,171
6,Erkak,7.801018446929947,214
7,Ayol,7.615459012602132,172
7,Erkak,7.808403019066538,201
8,Ayol,7.792791734431731,185
8,Erkak,7.191167499518874,208
9,Ayol,7.887945122117236,239
9,Erkak,7.5764627549438295,284
10,Ayol,9.231714923549934,228
10,Erkak,8.545341292719563,227
