windex10,area,avg_books,n
1,Shahar,7.3094405136396805,101
1,Qishloq,6.7500165800118666,316
2,Shahar,7.407009483143614,101
2,Qishloq,7.196757280686555,279
3,Shahar,7.200972487105976,109
3,Qishloq,7.192018198663616,254
4,Shahar,7.539685934274518,124
4,Qishloq,7.559785177925234,265
5,Shahar,7.407414597770688,104
5,Qishloq,7.319981658057399,264
6,Shahar,7.8783796234190895,143
6,Qishloq,7.716149852750675,242
7,Shahar,7.9080205821251335,163
7,Qishloq,7.556717003527289,210
8,Shahar,7.263559766959973,257
8,Qishloq,7.857556575883848,136
9,Shahar,7.751330182877991,470
9,Qishloq,7.4290048082876385,53
10,Shahar,8.885093964366748,454
10,Qishloq,10,1
