windex10,area,rate_pct,n
1,Shahar,68.9556347039111,100
1,Qishloq,71.01901078613166,305
2,Shahar,75.36393180124621,100
2,Qishloq,73.38195070043693,275
3,Shahar,72.76874658051979,109
3,Qishloq,72.69872473645384,246
4,Shahar,75.66153197215596,123
4,Qishloq,75.34271451848701,261
5,Shahar,73.20029091326916,100
5,Qishloq,76.36634291616285,258
6,Shahar,79.76561054151097,142
6,Qishloq,72.25312024329799,237
7,Shahar,62.41013509206107,162
7,Qishloq,70.44502674039866,203
8,Shahar,73.16327397342872,251
8,Qishloq,64.26999645562498,133
9,Shahar,68.83757337922609,456
9,Qishloq,80.05204637256165,53
10,Shahar,72.01144984112884,445
10,Qishloq,100,1
