windex10,gender,rate_pct,n
1,Ayol,98.9498790433095,181
1,Erkak,99.33669763706344,226
2,Ayol,93.58756981626638,200
2,Erkak,97.05417675830849,178
3,Ayol,92.97217390315113,173
3,Erkak,98.38427365134285,186
4,Ayol,96.4743442949216,206
4,Erkak,98.66085741465177,182
5,Ayol,88.1025351340257,146
5,Erkak,97.35708516431612,215
6,Ayol,93.71050228736243,169
6,Erkak,93.30029351879516,212
7,Ayol,96.14085828030082,169
7,Erkak,97.24825679232985,199
8,Ayol,94.14631242079506,181
8,Erkak,95.46837496331014,206
9,Ayol,96.10919647717829,233
9,Erkak,97.46344273992867,279
10,Ayol,96.64768422950605,227
10,Erkak,91.8379534297467,224
