ESCS_w_decile,rural,Percent,Decile_num
D1,Qishloq,26.535947712418302,1
D1,Shahar,35.172413793103445,1
D2,Qishloq,37.988826815642454,2
D2,Shahar,46.91943127962085,2
D3,Qishloq,48.734177215189874,3
D3,Shahar,50.51020408163265,3
D4,Qishloq,47.05882352941176,4
D4,Shahar,53.30396475770925,4
D5,Qishloq,58.56079404466501,5
D5,Shahar,58.03921568627452,5
D6,Qishloq,60.215053763440864,6
D6,Shahar,64.9402390438247,6
D7,Qishloq,60.893854748603346,7
D7,Shahar,66.40926640926641,7
D8,Qishloq,61.08108108108108,8
D8,Shahar,70.10309278350515,8
D9,Qishloq,76.78018575851394,9
D9,Shahar,85.39682539682539,9
D10,Qishloq,90.94202898550725,10
D10,Shahar,90.40697674418605,10
NA,Qishloq,20,NA
NA,Shahar,66.66666666666666,NA
